cardEntryMethodCode,deviceOperatorId,count
STORED,9082,4871
SCAN_AND_GO,9084,875
SWIPE,9083,774
SWIPE,1234,382
SCAN_AND_GO,9083,380
WALMART_PAY,1234,173
SWIPE,9998,134
WALMART_PAY,9084,126
WALMART_PAY,9083,112
SWIPE,1,102
SWIPE,1357,79
SWIPE,9088,66
SWIPE,16,54
SWIPE,9014,46
STORED,9999,44
SWIPE,9098,43
SWIPE,9092,42
SWIPE,9090,38
SCAN_AND_GO,9998,36
SWIPE,9034,36
SWIPE,9096,36
SWIPE,9038,32
SWIPE,9016,31
SCAN_AND_GO,9098,28
SWIPE,9091,28
SWIPE,9031,28
SWIPE,9009,27
SWIPE,9012,26
WALMART_PAY,9088,26
SCAN_AND_GO,9042,25
SWIPE,9008,25
SWIPE,9010,25
SWIPE,9039,25
SWIPE,9025,25
SWIPE,9015,24
SCAN_AND_GO,9070,24
SCAN_AND_GO,9049,24
SWIPE,9093,24
ICCARD,9998,24
SWIPE,9084,24
SWIPE,9094,23
SWIPE,9037,23
SCAN_AND_GO,9090,23
SCAN_AND_GO,9077,23
SCAN_AND_GO,9092,23
SCAN_AND_GO,9095,23
SCAN_AND_GO,9022,23
SCAN_AND_GO,9063,22
SWIPE,9095,22
SCAN_AND_GO,9091,22
