deviceOperatorId,txn_count,avg_amount,min_date,max_date
9082,4886,32.85,2022-09-27,2025-02-12
9083,1281,15.15,2021-05-06,2025-02-12
9084,1026,24.57,2025-02-11,2025-02-12
1234,570,7.57,2022-10-14,2025-10-06
9998,203,48.23,2018-01-10,2025-10-06
1,167,13.29,2021-04-20,2025-02-12
9088,109,15.4,2025-02-11,2025-02-12
1357,87,627.38,2025-02-11,2025-02-12
9090,78,25.15,2025-02-11,2025-02-12
9098,78,22.23,2025-02-11,2025-02-12
9092,74,22.92,2025-02-11,2025-02-12
9091,73,20.73,2025-02-11,2025-02-12
9014,71,25.53,2025-02-11,2025-02-12
9096,66,18.08,2025-02-11,2025-02-12
9038,57,9.57,2025-02-11,2025-02-12
9008,55,17.14,2025-02-11,2025-02-11
16,54,2.48,2025-02-11,2025-02-12
9016,52,15.15,2025-02-11,2025-02-12
9034,52,18.75,2025-02-11,2025-02-12
9999,51,-90.16,2023-09-05,2025-10-06
